,loss,dkl,mse,traj_mse
202,8.279440939333435,4.102011833101651,4.177429080195434,2.7323009841341683
203,8.266198853062765,4.115020673100179,4.151178192608814,2.7088668193906407
204,8.258120419268675,4.106804012322389,4.151316416616931,2.7171664673155074
205,8.25638167013802,4.096686983629247,4.159694692459939,2.7091605882748797
206,8.255063144725495,4.094398508205801,4.160664648422027,2.7184188834590586
207,8.258412461570941,4.106331496454438,4.152080972555461,2.7025772807378665
208,8.272576360360322,4.114573279334677,4.158003086232916,2.7073454674618107
209,8.2965880764442,4.110191202386865,4.186396890423041,2.7406717332402555
210,8.263732441501945,4.108293104097363,4.155439324014458,2.7066531248286063
211,8.239529271951518,4.081416124858648,4.158113135190538,2.7179273517566984
212,8.282482755723498,4.134574020150671,4.147908772395665,2.7086142124884214
213,8.272688451311703,4.111651593920965,4.16103685367126,2.7127543124319424
214,8.241353478334995,4.096987899863589,4.14436558107504,2.711270494505693
215,8.259279824642235,4.108923590685388,4.150356239908013,2.7128641772753737
216,8.256975471508484,4.090496217962732,4.166479269911458,2.7255484347410395
217,8.29570483119923,4.127056057107244,4.16864878376263,2.7209209413870634
218,8.30428804882603,4.124520532426522,4.179767520118987,2.7308196136248464
219,8.274466818096856,4.101779413297656,4.172687399591931,2.7239506293012647
220,8.236049692269978,4.099672257993225,4.136377429813379,2.697191370444811
221,8.225022113639367,4.097939244298593,4.12708287529194,2.68889402599305
222,8.23339059237571,4.096550618616542,4.136839987893186,2.7021615423389975
223,8.267960688253275,4.108746096422073,4.159214602245742,2.7170050754190047
224,8.255711469189054,4.104051298358697,4.1516601544646505,2.709206020218348
225,8.252606391906738,4.1051826008396475,4.147423776189176,2.7074912732551324
226,8.22255286486026,4.1044834653226525,4.118069424086167,2.681084469216476
227,8.24526218319088,4.0964055425849235,4.148856648788809,2.7125018193457686
228,8.277442414377484,4.112656719785027,4.164785715421536,2.7351475479822263
229,8.239272232174688,4.095770474343143,4.143501763038814,2.6976724373940932
230,8.264813503497477,4.119399380200367,4.145414155284626,2.7009548066000857
231,8.24765258199897,4.108928862674374,4.138723697007725,2.70014237130116
232,8.249056476884626,4.117407800254881,4.131648667702994,2.6796217764409582
233,8.239885001398285,4.096401412475871,4.14348357925177,2.693912658230191
234,8.242304242531334,4.1090218005425845,4.133282423391357,2.6896011282612866
235,8.273812031411158,4.117678693601754,4.156133336321612,2.700249909238771
236,8.233605218194018,4.096100520790088,4.137504707074575,2.7033259478076572
237,8.292717584023796,4.12612985560377,4.166587734371191,2.7237693936144134
238,8.254651206517925,4.105998516082764,4.148652663654916,2.706636208267926
239,8.23644977277973,4.106592348696847,4.129857416643925,2.694460697367485
240,8.248718542911334,4.0956571433175935,4.153061392898678,2.720804037058409
241,8.256330777999949,4.104599176814515,4.151731572917397,2.7157391694704196
242,8.218440703036446,4.098926765126483,4.119513924519841,2.6846254251304544
243,8.232787438748222,4.104909648389414,4.127877779200371,2.6872728261486416
244,8.228102170732948,4.10982751399976,4.118274658964874,2.665090445609249
245,8.22436787966819,4.097185955404678,4.127181940629218,2.694602467154564
246,8.253718174563927,4.108340008954362,4.145378166353461,2.7081564796882187
247,8.24856161364527,4.113761857965621,4.134799763862503,2.6975649147063447
248,8.248081704197734,4.114172831340439,4.133908872857295,2.7012341093161547
249,8.22746809187248,4.114109822628836,4.113358282633765,2.68499225945257
250,8.250857957253777,4.098807192815819,4.152050776340288,2.701884588101725
251,8.225113304840422,4.097477568479112,4.127635749007536,2.69312824659898
252,8.254171499410026,4.097718285695997,4.156453196604427,2.711945073652937
253,8.263226848310687,4.091747788296847,4.171479034721386,2.727361999696205
254,8.230767096818516,4.123143310665898,4.107623810701177,2.6705213046855003
255,8.221759632485519,4.100490024048899,4.121269618107265,2.678505936948446
256,8.252696093828556,4.1186712134089,4.134024874096542,2.70121730136425
257,8.268324844550788,4.094691838191563,4.1736329624693775,2.7357022308522194
258,8.233613812421302,4.1158892896357635,4.1177245153465805,2.681822838165831
259,8.265706400045552,4.112947606817237,4.15275880810623,2.7121486325345807
260,8.211547964634649,4.084688998979637,4.126858954868525,2.699686956480029
261,8.252570275769404,4.126571971057172,4.125998297645224,2.6902918696589477
262,8.21989963132766,4.109952997305836,4.109946639601042,2.6615542509998433
263,8.247533808632314,4.089414624081759,4.158119192733408,2.7218138944712145
264,8.20882818962966,4.09582036742926,4.113007819224817,2.6839060325890363
265,8.234248762383661,4.115890250005142,4.11835851237852,2.678223074319396
266,8.257830482191302,4.110916401778294,4.146914078181322,2.7019531038733615
267,8.210713460925216,4.100798087633344,4.109915382962517,2.6830503274795605
268,8.261553489101845,4.116263781620448,4.145289715664249,2.7048191012532774
269,8.2519276986442,4.118365629972794,4.1335620671836155,2.6928068933174503
270,8.20226149551582,4.09848626206706,4.10377522303422,2.6803930557090294
271,8.252023329414927,4.126242793852379,4.1257805563916286,2.693026334000824
272,8.210084415263207,4.098949880942167,4.11113454473558,2.673160146811451
273,8.269982971750816,4.121120194005148,4.148862769562815,2.6873120335446505
274,8.231167171377102,4.112901725560752,4.11826546664543,2.680086433422547
275,8.216783800288779,4.1038540901148375,4.112929714637316,2.6651907729656203
276,8.230360800316108,4.108803137602188,4.12155766420171,2.6884638489501524
277,8.269848081139433,4.117900724901982,4.151947383761592,2.7198332293357192
278,8.248470873988921,4.112753635263666,4.135717245420316,2.6891608082002114
279,8.217055097571029,4.107042665972538,4.110012427135117,2.672230368285395
